路径编号,车型,节点序列,是否可行,总成本,固定成本,能耗成本,碳排成本,等待成本,迟到成本,总距离,违规信息,到达时刻,服务开始时刻,离开时刻
54,fuel_3000,0 -> 7_3 -> 12_2 -> 0,True,809.9497154274295,400.0,265.34826601802433,57.726323496207655,86.87512591319752,0.0,112.9750288979488,[],"[8.0, 9.947608084409215, 13.308635619930909, 16.22814742131657]","[8.0, 12.683333333333334, 14.916666666666666, 16.22814742131657]","[8.0, 13.016666666666667, 15.25, 16.22814742131657]"
55,fuel_1500,0 -> 59_6 -> 0,True,890.4416804577079,400.0,390.15534806185997,84.87801399261662,15.408318403231362,0.0,164.154552852561,[],"[8.0, 10.479584079838432, 14.233163527901397]","[8.0, 11.25, 14.233163527901397]","[8.0, 11.583333333333334, 14.233163527901397]"
56,fuel_3000,0 -> 46_1 -> 63_1 -> 0,True,1017.5244443951237,400.0,460.29055729558274,100.13587807236557,57.098009027175465,0.0,193.60873073141488,[],"[8.0, 10.002771060384037, 14.208995154923857, 17.532764683423654]","[8.0, 11.2, 15.866666666666667, 17.532764683423654]","[8.0, 11.533333333333333, 16.2, 17.532764683423654]"
57,ev_1250,0 -> 90_1 -> 51_3 -> 0,True,654.8049414824026,400.0,108.53693022709133,21.551860566129452,124.71615068918177,0.0,156.2743325023178,[],"[8.0, 10.143253560873816, 15.00427223800043, 19.009564573130966]","[8.0, 13.833333333333334, 17.55, 19.009564573130966]","[8.0, 14.166666666666668, 17.883333333333333, 19.009564573130966]"
58,fuel_1500,0 -> 63_3 -> 0,True,797.6328947096581,400.0,224.89315770587717,48.92534392115177,123.81439308262905,0.0,94.3597395863948,[],"[8.0, 9.675947012535214, 17.532764683423654]","[8.0, 15.866666666666667, 17.532764683423654]","[8.0, 16.2, 17.532764683423654]"
59,fuel_3000,0 -> 49_1 -> 56_4 -> 0,True,869.2357712278267,400.0,320.10315188142863,69.63820934261487,79.49441000378317,0.0,146.5899653948929,[],"[8.0, 9.12527949981084, 14.326825254467481, 16.741770500622035]","[8.0, 13.1, 14.326825254467481, 16.741770500622035]","[8.0, 13.433333333333334, 14.660158587800815, 16.741770500622035]"
60,fuel_1500,0 -> 8_2 -> 0,True,629.759387809908,400.0,165.76460766911373,36.06197059482277,27.93280954597151,0.0,66.0548965441108,[],"[8.0, 9.420026189368091, 13.107367961519989]","[8.0, 10.816666666666666, 13.107367961519989]","[8.0, 11.15, 13.107367961519989]"
61,fuel_1500,0 -> 47_1 -> 0,True,695.3978353264022,400.0,81.72039528218102,17.778212931591955,195.8992271126292,0.0,33.0606074004938,[],"[8.0, 9.121705311035207, 19.716957731645394]","[8.0, 18.916666666666668, 19.716957731645394]","[8.0, 19.25, 19.716957731645394]"
62,fuel_1500,0 -> 50_6 -> 0,True,999.1639727260564,400.0,327.87984871058325,71.33002411732012,199.954099898153,0.0,140.9824863605382,[],"[8.0, 10.152295005092348, 22.474611389273136]","[8.0, 20.15, 22.474611389273136]","[8.0, 20.48333333333333, 22.474611389273136]"
63,fuel_3000,0 -> 57_5 -> 55_3 -> 0,True,1061.8395759818811,400.0,456.65459013893593,99.3448760452714,105.84010979767399,0.0,200.3451450025185,[],"[8.0, 9.368115578510576, 17.889878931605725, 20.115630112957845]","[8.0, 14.633333333333333, 17.916666666666668, 20.115630112957845]","[8.0, 14.966666666666667, 18.25, 20.115630112957845]"
64,fuel_1500,0 -> 7_2 -> 0,True,811.0135357343398,400.0,292.6362303427292,63.66280041312817,54.71450497848238,0.0,124.4054541356592,[],"[8.0, 9.947608084409215, 14.1414899409493]","[8.0, 12.683333333333334, 14.1414899409493]","[8.0, 13.016666666666667, 14.1414899409493]"
65,ev_3000,0 -> 13_1 -> 84_1 -> 62_4 -> 0,True,673.5870602395448,400.0,117.19485390447285,23.271039130482677,133.1211672045893,0.0,176.7926394535698,[],"[8.0, 9.572155288854713, 13.917832044906897, 17.43728763934226, 20.89735473061686]","[8.0, 12.166666666666666, 16.233333333333334, 19.183333333333334, 20.89735473061686]","[8.0, 12.5, 16.566666666666666, 19.516666666666666, 20.89735473061686]"
